TERMINACION,LATITUD,LONGITUD,PROFUNDIDAD (m)
SITIO_GDE_1,17.798887,-93.147397,3474
SITIO_GDE_100,17.767397,-93.119059,3645
SITIO_GDE_1001,17.772266,-93.118353,3520
SITIO_GDE_101,17.767374,-93.109656,3750
SITIO_GDE_1011,17.77142,-93.113202,3640
SITIO_GDE_102,17.77142,-93.113202,3806
SITIO_GDE_1021,17.773704,-93.128846,3550
SITIO_GDE_103,17.767458,-93.100232,3928
SITIO_GDE_110,17.759575,-93.114355,3878
SITIO_GDE_111,17.759554,-93.104934,3773
SITIO_GDE_5,17.791031,-93.142658,3583
SITIO_GDE_51,17.806581,-93.133239,3728
SITIO_GDE_6,17.798864,-93.137941,3544
SITIO_GDE_61,17.798865,-93.128514,3549
SITIO_GDE_61D,17.791752,-93.130202,3467
SITIO_GDE_63,17.798782,-93.119037,3795
SITIO_GDE_6D,17.79884,-93.137881,3546
SITIO_GDE_7,17.806071,-93.142479,3637
SITIO_GDE_70,17.791031,-93.133224,3465
SITIO_GDE_701,17.795642,-93.134053,3500
SITIO_GDE_71,17.790855,-93.123702,3501
SITIO_GDE_73,17.790958,-93.114317,3723
SITIO_GDE_8,17.81456,-93.147466,3962
SITIO_GDE_80,17.783205,-93.128505,3467
SITIO_GDE_801,17.78867,-93.128325,3600
SITIO_GDE_81,17.783028,-93.119014,3530
SITIO_GDE_82,17.783209,-93.137928,3500
SITIO_GDE_83,17.78313,-93.109604,3666
SITIO_GDE_90,17.775336,-93.123733,3470
SITIO_GDE_901,17.780671,-93.123036,3500
SITIO_GDE_91,17.7752,-93.114322,3592
SITIO_GDE_911,17.77922,-93.11561,3540
SITIO_GDE_92,17.77539,-93.133227,3547
SITIO_GDE_921,17.780271,-93.132774,3490
SITIO_GDE_93,17.775192,-93.104895,3666
SITIO_GDE_94,17.775388,-93.142642,3691
